# iteration cms_x cms_y cms_z cms_vy cms_vy cms_vz mass kinetic_energy
  123 +9.084966778755187988281e-01 -1.157732129096984863281e+00 +7.795825600624084472656e-01 +2.336731702089309692383e-01 +1.817933171987533569336e-01 -3.369316458702087402344e-01 1.542348632812500000000e+04 1.182083148952714545885e+05
  124 +9.193931221961975097656e-01 -1.147967934608459472656e+00 +7.629817724227905273438e-01 +2.190128862857818603516e-01 +1.760159432888031005859e-01 -3.430514633655548095703e-01 1.542346972656250000000e+04 1.129141045703570998739e+05
  125 +9.299608469009399414062e-01 -1.138700604438781738281e+00 +7.461014986038208007812e-01 +2.005542814731597900391e-01 +1.675482243299484252930e-01 -3.439253270626068115234e-01 1.542350390625000000000e+04 1.078833621476667176466e+05
  126 +9.385522603988647460938e-01 -1.129099488258361816406e+00 +7.293999791145324707031e-01 +1.813460439443588256836e-01 +1.610535532236099243164e-01 -3.413953781127929687500e-01 1.542346484375000000000e+04 1.040147437933290930232e+05
  127 +9.479153752326965332031e-01 -1.120602846145629882812e+00 +7.132861614227294921875e-01 +1.672358959913253784180e-01 +1.485231667757034301758e-01 -3.362007439136505126953e-01 1.542344921875000000000e+04 1.002516578145375242457e+05
  128 +9.565991759300231933594e-01 -1.112127542495727539062e+00 +6.968058943748474121094e-01 +1.505909115076065063477e-01 +1.362557560205459594727e-01 -3.361570537090301513672e-01 1.542350390625000000000e+04 9.755561361710265919100e+04
  129 +9.645082354545593261719e-01 -1.104369282722473144531e+00 +6.796381473541259765625e-01 +1.346926838159561157227e-01 +1.259747892618179321289e-01 -3.316686749458312988281e-01 1.542348046875000000000e+04 9.503669482043990865350e+04
  130 +9.709309935569763183594e-01 -1.098150372505187988281e+00 +6.629705429077148437500e-01 +1.239748597145080566406e-01 +1.111863404512405395508e-01 -3.258881866931915283203e-01 1.542345019531250000000e+04 9.269117144192830892280e+04
  131 +9.777384400367736816406e-01 -1.092321634292602539062e+00 +6.465784907341003417969e-01 +1.136584132909774780273e-01 +1.068108603358268737793e-01 -3.205206692218780517578e-01 1.542394238281250000000e+04 9.021598771006938477512e+04
  132 +9.836905002593994140625e-01 -1.086955308914184570312e+00 +6.306915283203125000000e-01 +1.068083047866821289062e-01 +1.011875346302986145020e-01 -3.126872181892395019531e-01 1.542397558593750000000e+04 8.794255080635157355573e+04
  133 +9.893277883529663085938e-01 -1.081585288047790527344e+00 +6.154389977455139160156e-01 +9.994509816169738769531e-02 +1.003873497247695922852e-01 -3.063908219337463378906e-01 1.542398046875000000000e+04 8.568773964293263270520e+04
  134 +9.948542118072509765625e-01 -1.076413035392761230469e+00 +6.008265614509582519531e-01 +9.766051173210144042969e-02 +1.043217629194259643555e-01 -2.969362735748291015625e-01 1.542394824218750000000e+04 8.310406951425281295087e+04
  135 +9.990934729576110839844e-01 -1.071241736412048339844e+00 +5.860455632209777832031e-01 +9.784865379333496093750e-02 +1.073556616902351379395e-01 -2.931352257728576660156e-01 1.542398437500000000000e+04 8.033823179785153479315e+04
  136 +1.002922773361206054688e+00 -1.062680363655090332031e+00 +5.732668638229370117188e-01 +1.010370999574661254883e-01 +1.126065701246261596680e-01 -2.797150611877441406250e-01 1.542648535156250000000e+04 7.748054800206837535370e+04
  137 +1.007523179054260253906e+00 -1.056280255317687988281e+00 +5.592325925827026367188e-01 +1.060400977730751037598e-01 +1.204127073287963867188e-01 -2.734854221343994140625e-01 1.542646191406250000000e+04 7.494292961874528555200e+04
  138 +1.013165593147277832031e+00 -1.050143718719482421875e+00 +5.463345050811767578125e-01 +1.108129471540451049805e-01 +1.300604939460754394531e-01 -2.690953314304351806641e-01 1.542650195312500000000e+04 7.344518358276489016134e+04
  139 +1.018126368522644042969e+00 -1.043428659439086914062e+00 +5.343160629272460937500e-01 +1.201477721333503723145e-01 +1.363305598497390747070e-01 -2.629401087760925292969e-01 1.542680078125000000000e+04 7.110989126800255326089e+04
  140 +1.023465275764465332031e+00 -1.036302447319030761719e+00 +5.209574103355407714844e-01 +1.232429146766662597656e-01 +1.357823312282562255859e-01 -2.530831694602966308594e-01 1.542681250000000000000e+04 6.926162892686459235847e+04
  141 +1.027760148048400878906e+00 -1.033527851104736328125e+00 +5.102894306182861328125e-01 +1.299998760223388671875e-01 +1.354187279939651489258e-01 -2.487397193908691406250e-01 1.543123437500000000000e+04 6.769862169925971829798e+04
  142 +1.033827304840087890625e+00 -1.026837348937988281250e+00 +4.979918897151947021484e-01 +1.378466486930847167969e-01 +1.368594318628311157227e-01 -2.417258620262145996094e-01 1.543125683593750000000e+04 6.682922461383609334007e+04
  143 +1.041129708290100097656e+00 -1.021038651466369628906e+00 +4.868326485157012939453e-01 +1.442945152521133422852e-01 +1.420527249574661254883e-01 -2.409308254718780517578e-01 1.543133886718750000000e+04 6.643466446257475763559e+04
  144 +1.049359083175659179688e+00 -1.013326048851013183594e+00 +4.754287302494049072266e-01 +1.495030373334884643555e-01 +1.615952253341674804688e-01 -2.419058084487915039062e-01 1.543130664062500000000e+04 6.584842213870963314548e+04
  145 +1.057455301284790039062e+00 -1.005124449729919433594e+00 +4.631371498107910156250e-01 +1.536438614130020141602e-01 +1.803442835807800292969e-01 -2.462631911039352416992e-01 1.543131445312500000000e+04 6.522481087718536582543e+04
  146 +1.064737915992736816406e+00 -9.967984557151794433594e-01 +4.512492716312408447266e-01 +1.622006148099899291992e-01 +1.983852535486221313477e-01 -2.535495758056640625000e-01 1.543126171875000000000e+04 6.460731935398183122743e+04
  147 +1.074352145195007324219e+00 -9.879986047744750976562e-01 +4.387829899787902832031e-01 +1.716766059398651123047e-01 +2.143618613481521606445e-01 -2.584343254566192626953e-01 1.543431542968750000000e+04 6.389443230388013034826e+04
  148 +1.083283185958862304688e+00 -9.767594933509826660156e-01 +4.262210726737976074219e-01 +1.842482388019561767578e-01 +2.284481972455978393555e-01 -2.637865245342254638672e-01 1.543429492187500000000e+04 6.348921329264339146903e+04
  149 +1.092889189720153808594e+00 -9.655517935752868652344e-01 +4.132727086544036865234e-01 +2.014269381761550903320e-01 +2.386865615844726562500e-01 -2.680936455726623535156e-01 1.543428417968750000000e+04 6.272443243040420929901e+04
  150 +1.103040456771850585938e+00 -9.536544680595397949219e-01 +4.001490473747253417969e-01 +2.155507951974868774414e-01 +2.497654110193252563477e-01 -2.719344496726989746094e-01 1.543430859375000000000e+04 6.192027035209290625062e+04
  151 +1.114270567893981933594e+00 -9.412013292312622070312e-01 +3.870013654232025146484e-01 +2.290431112051010131836e-01 +2.602837681770324707031e-01 -2.764471769332885742188e-01 1.543435546875000000000e+04 6.076033550605814525625e+04
  152 +1.125611901283264160156e+00 -9.272530674934387207031e-01 +3.727467656135559082031e-01 +2.387449890375137329102e-01 +2.700257897377014160156e-01 -2.824015319347381591797e-01 1.543429589843750000000e+04 6.030359398470400628867e+04
  153 +1.136959552764892578125e+00 -9.135639667510986328125e-01 +3.589952588081359863281e-01 +2.469719797372817993164e-01 +2.853798866271972656250e-01 -2.887788116931915283203e-01 1.543437304687500000000e+04 5.991476743760583485710e+04
  154 +1.148885011672973632812e+00 -8.991609811782836914062e-01 +3.454340100288391113281e-01 +2.547280490398406982422e-01 +2.967978119850158691406e-01 -2.926601469516754150391e-01 1.543433984375000000000e+04 5.943306414607082115253e+04
  155 +1.161538839340209960938e+00 -8.841275572776794433594e-01 +3.316072225570678710938e-01 +2.568994462490081787109e-01 +3.128656446933746337891e-01 -2.935464084148406982422e-01 1.543433300781250000000e+04 5.932332023400662728818e+04
  156 +1.174555182456970214844e+00 -8.679761290550231933594e-01 +3.172686100006103515625e-01 +2.537304162979125976562e-01 +3.274665474891662597656e-01 -2.963572144508361816406e-01 1.543434179687500000000e+04 5.968814030532959441189e+04
  157 +1.187679648399353027344e+00 -8.511540293693542480469e-01 +3.035441040992736816406e-01 +2.532249093055725097656e-01 +3.403652608394622802734e-01 -3.020966053009033203125e-01 1.543427734375000000000e+04 6.016489489914256409975e+04
  158 +1.199776530265808105469e+00 -8.339154720306396484375e-01 +2.893698811531066894531e-01 +2.500754296779632568359e-01 +3.513550460338592529297e-01 -3.058750331401824951172e-01 1.543429882812500000000e+04 6.066806969527660112362e+04
  159 +1.211376070976257324219e+00 -8.169465661048889160156e-01 +2.735077738761901855469e-01 +2.482472211122512817383e-01 +3.655297756195068359375e-01 -3.094190061092376708984e-01 1.543774218750000000000e+04 6.061259967202423285926e+04
  160 +1.224103093147277832031e+00 -7.986473441123962402344e-01 +2.584939599037170410156e-01 +2.467085123062133789062e-01 +3.778724074363708496094e-01 -3.101307749748229980469e-01 1.543777441406250000000e+04 6.091057588508799381088e+04
  161 +1.236555933952331542969e+00 -7.797894477844238281250e-01 +2.427859455347061157227e-01 +2.457830607891082763672e-01 +3.891466259956359863281e-01 -3.165132105350494384766e-01 1.543778222656250000000e+04 6.085372302528824366163e+04
  162 +1.248384118080139160156e+00 -7.602719068527221679688e-01 +2.266888767480850219727e-01 +2.456396222114562988281e-01 +4.045370519161224365234e-01 -3.164645731449127197266e-01 1.543775195312500000000e+04 6.078441453683158761123e+04
  163 +1.260879039764404296875e+00 -7.394556999206542968750e-01 +2.104908674955368041992e-01 +2.536831498146057128906e-01 +4.199165403842926025391e-01 -3.137500584125518798828e-01 1.543774609375000000000e+04 6.085120609592591790715e+04
  164 +1.274908304214477539062e+00 -7.177239656448364257812e-01 +1.951264739036560058594e-01 +2.605347633361816406250e-01 +4.528884887695312500000e-01 -2.998240888118743896484e-01 1.543979589843750000000e+04 6.004174813030457880814e+04
  165 +1.287085533142089843750e+00 -6.932114958763122558594e-01 +1.811328977346420288086e-01 +2.743552327156066894531e-01 +4.807790517807006835938e-01 -2.834244370460510253906e-01 1.544379882812500000000e+04 5.951806430851873301435e+04
  166 +1.301364421844482421875e+00 -6.693776845932006835938e-01 +1.670374870300292968750e-01 +2.879820466041564941406e-01 +5.092766284942626953125e-01 -2.696931064128875732422e-01 1.544378125000000000000e+04 5.962411372706262045540e+04
  167 +1.316101789474487304688e+00 -6.436249017715454101562e-01 +1.530270576477050781250e-01 +3.010868430137634277344e-01 +5.410110950469970703125e-01 -2.550183236598968505859e-01 1.544380371093750000000e+04 6.044123379092901450349e+04
  168 +1.330406904220581054688e+00 -6.165353059768676757812e-01 +1.406521201133728027344e-01 +3.155027329921722412109e-01 +5.704365372657775878906e-01 -2.404359877109527587891e-01 1.544380859375000000000e+04 6.130545138016351847909e+04
  169 +1.345600366592407226562e+00 -5.877275466918945312500e-01 +1.289429962635040283203e-01 +3.364345729351043701172e-01 +5.931819081306457519531e-01 -2.223166674375534057617e-01 1.544378417968750000000e+04 6.186722466599086328642e+04
  170 +1.361982345581054687500e+00 -5.575436949729919433594e-01 +1.180404201149940490723e-01 +3.598364591598510742188e-01 +6.180510520935058593750e-01 -2.027735561132431030273e-01 1.544377929687500000000e+04 6.286765241881054680562e+04
  171 +1.379271745681762695312e+00 -5.266959071159362792969e-01 +1.083897054195404052734e-01 +3.821041584014892578125e-01 +6.403111815452575683594e-01 -1.856661438941955566406e-01 1.544379199218750000000e+04 6.433881014031201630132e+04
  172 +1.398281931877136230469e+00 -4.950217604637145996094e-01 +9.991981089115142822266e-02 +4.067532420158386230469e-01 +6.668436527252197265625e-01 -1.662037521600723266602e-01 1.544380957031250000000e+04 6.593861290002362511586e+04
  173 +1.418137669563293457031e+00 -4.618623554706573486328e-01 +9.168559312820434570312e-02 +4.369727075099945068359e-01 +6.876320838928222656250e-01 -1.453434973955154418945e-01 1.544380664062500000000e+04 6.757549367281628656201e+04
  174 +1.439917564392089843750e+00 -4.271156191825866699219e-01 +8.452209830284118652344e-02 +4.581678211688995361328e-01 +7.057016491889953613281e-01 -1.260033100843429565430e-01 1.544377929687500000000e+04 6.913313530705627636053e+04
  175 +1.463003516197204589844e+00 -3.915208578109741210938e-01 +7.841945439577102661133e-02 +4.857682585716247558594e-01 +7.176620364189147949219e-01 -1.063225567340850830078e-01 1.544379882812500000000e+04 7.100151739382788946386e+04
  176 +1.486450314521789550781e+00 -3.556905388832092285156e-01 +7.309958338737487792969e-02 +5.134567618370056152344e-01 +7.255265116691589355469e-01 -8.967701345682144165039e-02 1.544380175781250000000e+04 7.264532045480085071176e+04
  177 +1.511973381042480468750e+00 -3.197946846485137939453e-01 +6.925775855779647827148e-02 +5.426829457283020019531e-01 +7.319689989089965820312e-01 -7.408967614173889160156e-02 1.544383789062500000000e+04 7.431065554474647797178e+04
  178 +1.539240002632141113281e+00 -2.830810844898223876953e-01 +6.569140404462814331055e-02 +5.755627751350402832031e-01 +7.366037964820861816406e-01 -6.059271097183227539062e-02 1.544381445312500000000e+04 7.654913244527143251617e+04
  179 +1.567743420600891113281e+00 -2.462400197982788085938e-01 +6.296493113040924072266e-02 +6.053856015205383300781e-01 +7.387553453445434570312e-01 -4.292309656739234924316e-02 1.544383398437500000000e+04 7.877469894793948333245e+04
  180 +1.597837328910827636719e+00 -2.086958885192871093750e-01 +6.105704605579376220703e-02 +6.285662055015563964844e-01 +7.454072237014770507812e-01 -2.578626945614814758301e-02 1.544375781250000000000e+04 8.078227692818756622728e+04
  181 +1.629217028617858886719e+00 -1.711826175451278686523e-01 +5.957867205142974853516e-02 +6.556043028831481933594e-01 +7.528882026672363281250e-01 -7.199230603873729705811e-03 1.544381738281250000000e+04 8.355367127719013660681e+04
  182 +1.662106990814208984375e+00 -1.334415078163146972656e-01 +5.901343747973442077637e-02 +6.691979169845581054688e-01 +7.597914338111877441406e-01 +1.195841468870639801025e-02 1.544381738281250000000e+04 8.474748645474627846852e+04
  183 +1.695411086082458496094e+00 -9.547473490238189697266e-02 +6.011034548282623291016e-02 +6.846513152122497558594e-01 +7.698254585266113281250e-01 +3.546480461955070495605e-02 1.544382128906250000000e+04 8.584509365056394017301e+04
  184 +1.729157924652099609375e+00 -5.752778425812721252441e-02 +6.176023557782173156738e-02 +6.938467025756835937500e-01 +7.788693904876708984375e-01 +6.361632794141769409180e-02 1.544382421875000000000e+04 8.665740122000667906832e+04
  185 +1.763614416122436523438e+00 -1.848259754478931427002e-02 +6.501512229442596435547e-02 +7.015546560287475585938e-01 +7.921998500823974609375e-01 +8.898250013589859008789e-02 1.544380468750000000000e+04 8.828520887402328662574e+04
  186 +1.798598885536193847656e+00 +2.092258818447589874268e-02 +6.955319643020629882812e-02 +7.020587921142578125000e-01 +7.987813949584960937500e-01 +1.176568120718002319336e-01 1.544382031250000000000e+04 8.955641960748571727891e+04
  187 +1.833614826202392578125e+00 +6.208960339426994323730e-02 +7.487376779317855834961e-02 +7.100715041160583496094e-01 +8.088822960853576660156e-01 +1.442994624376296997070e-01 1.544378710937500000000e+04 9.129638461002154508606e+04
  188 +1.869002223014831542969e+00 +1.022567227482795715332e-01 +8.321750909090042114258e-02 +7.119815945625305175781e-01 +8.203553557395935058594e-01 +1.715080738067626953125e-01 1.544380468750000000000e+04 9.321065832418245554436e+04
  189 +1.904280662536621093750e+00 +1.427849531173706054688e-01 +9.192581474781036376953e-02 +7.114259600639343261719e-01 +8.296378850936889648438e-01 +1.999973356723785400391e-01 1.544381542968750000000e+04 9.564109670098721107934e+04
  190 +1.939956545829772949219e+00 +1.841596215963363647461e-01 +1.025096848607063293457e-01 +7.067418694496154785156e-01 +8.368126153945922851562e-01 +2.238801419734954833984e-01 1.544380761718750000000e+04 9.761104034899838734418e+04
  191 +1.975196957588195800781e+00 +2.261326164007186889648e-01 +1.136283427476882934570e-01 +7.015546560287475585938e-01 +8.463553786277770996094e-01 +2.514645457267761230469e-01 1.544383789062500000000e+04 1.002653444371483492432e+05
  192 +2.010412454605102539062e+00 +2.686381936073303222656e-01 +1.265393197536468505859e-01 +6.888290047645568847656e-01 +8.617044687271118164062e-01 +2.755509018898010253906e-01 1.544383496093750000000e+04 1.027136408010096783983e+05
  193 +2.044385194778442382812e+00 +3.118118047714233398438e-01 +1.407332718372344970703e-01 +6.733393669128417968750e-01 +8.754124045372009277344e-01 +3.030816018581390380859e-01 1.544377734375000000000e+04 1.054118060280993668130e+05
  194 +2.077883005142211914062e+00 +3.560268580913543701172e-01 +1.555481255054473876953e-01 +6.574620008468627929688e-01 +8.880527019500732421875e-01 +3.296301066875457763672e-01 1.544382421875000000000e+04 1.078757848632255190751e+05
  195 +2.110915184020996093750e+00 +4.007099270820617675781e-01 +1.726435571908950805664e-01 +6.410481929779052734375e-01 +9.037513136863708496094e-01 +3.536483347415924072266e-01 1.544380078125000000000e+04 1.102142869961832329864e+05
  196 +2.143101453781127929688e+00 +4.456027448177337646484e-01 +1.902605444192886352539e-01 +6.280999779701232910156e-01 +9.207565188407897949219e-01 +3.727902472019195556641e-01 1.544375585937500000000e+04 1.132957955920418171445e+05
  197 +2.174376010894775390625e+00 +4.920179247856140136719e-01 +2.082903087139129638672e-01 +6.126425266265869140625e-01 +9.420666694641113281250e-01 +3.944952487945556640625e-01 1.544375976562500000000e+04 1.165212519611243042164e+05
  198 +2.205228090286254882812e+00 +5.395064949989318847656e-01 +2.281674146652221679688e-01 +5.837492346763610839844e-01 +9.673907756805419921875e-01 +4.168576002120971679688e-01 1.544379296875000000000e+04 1.189732493171192763839e+05
  199 +2.234456777572631835938e+00 +5.880796313285827636719e-01 +2.489793002605438232422e-01 +5.605021119117736816406e-01 +9.943944215774536132812e-01 +4.361124038696289062500e-01 1.544381347656250000000e+04 1.223650673829157894943e+05
  200 +2.262686729431152343750e+00 +6.376354694366455078125e-01 +2.701325714588165283203e-01 +5.488052368164062500000e-01 +1.025585293769836425781e+00 +4.568665325641632080078e-01 1.544384277343750000000e+04 1.266030136504585680086e+05
  201 +2.285363435745239257812e+00 +6.875008940696716308594e-01 +2.894875705242156982422e-01 +5.189487934112548828125e-01 +1.060980081558227539062e+00 +4.757209122180938720703e-01 1.545304394531250000000e+04 1.282028191092677443521e+05
  202 +2.311029195785522460938e+00 +7.412725687026977539062e-01 +3.138614296913146972656e-01 +4.965586960315704345703e-01 +1.100720167160034179688e+00 +4.916820526123046875000e-01 1.545308496093750000000e+04 1.303113452811933821067e+05
  203 +2.336553573608398437500e+00 +7.967398762702941894531e-01 +3.385716676712036132812e-01 +4.845257699489593505859e-01 +1.149646759033203125000e+00 +5.029889345169067382812e-01 1.545307617187500000000e+04 1.339334795434598927386e+05
  204 +2.360202312469482421875e+00 +8.544807434082031250000e-01 +3.637209236621856689453e-01 +4.848408997058868408203e-01 +1.194418787956237792969e+00 +5.141501426696777343750e-01 1.545308203125000000000e+04 1.376661809309541131370e+05
  205 +2.384431600570678710938e+00 +9.138237833976745605469e-01 +3.895744979381561279297e-01 +4.883022308349609375000e-01 +1.244998335838317871094e+00 +5.252911448478698730469e-01 1.545308105468750000000e+04 1.420725909492271603085e+05
  206 +2.407109022140502929688e+00 +9.794860482215881347656e-01 +4.136739969253540039062e-01 +5.018011331558227539062e-01 +1.289618968963623046875e+00 +5.377699136734008789062e-01 1.545660546875000000000e+04 1.464429214466946141329e+05
  207 +2.431853532791137695312e+00 +1.044016003608703613281e+00 +4.407713711261749267578e-01 +5.247290134429931640625e-01 +1.335589647293090820312e+00 +5.534384846687316894531e-01 1.545664062500000000000e+04 1.517161857438258884940e+05
  208 +2.456119537353515625000e+00 +1.111252069473266601562e+00 +4.669889807701110839844e-01 +5.531251430511474609375e-01 +1.378490447998046875000e+00 +5.647341609001159667969e-01 1.545862890625000000000e+04 1.560594640452478779480e+05
  209 +2.484263181686401367188e+00 +1.180343389511108398438e+00 +4.946642518043518066406e-01 +5.914297699928283691406e-01 +1.419823765754699707031e+00 +5.741277933120727539062e-01 1.545865234375000000000e+04 1.604020399224990687799e+05
  210 +2.514451026916503906250e+00 +1.251275420188903808594e+00 +5.230698585510253906250e-01 +6.343978643417358398438e-01 +1.460766434669494628906e+00 +5.815130472183227539062e-01 1.545929687500000000000e+04 1.653592378999403736088e+05
  211 +2.546033143997192382812e+00 +1.324837446212768554688e+00 +5.527036190032958984375e-01 +6.892772912979125976562e-01 +1.512234449386596679688e+00 +5.814197659492492675781e-01 1.545930175781250000000e+04 1.725121055708527565002e+05
  212 +2.580308198928833007812e+00 +1.400645494461059570312e+00 +5.819962024688720703125e-01 +7.415069937705993652344e-01 +1.550866007804870605469e+00 +5.820299983024597167969e-01 1.545931835937500000000e+04 1.780004270951311627869e+05
  213 +2.617936134338378906250e+00 +1.478608489036560058594e+00 +6.114575862884521484375e-01 +7.981864213943481445312e-01 +1.596077442169189453125e+00 +5.870491862297058105469e-01 1.545931250000000000000e+04 1.845925958021085825749e+05
  214 +2.656000852584838867188e+00 +1.557279348373413085938e+00 +6.415207386016845703125e-01 +8.532356619834899902344e-01 +1.636862397193908691406e+00 +5.840520262718200683594e-01 1.546146972656250000000e+04 1.902550660522024263628e+05
  215 +2.698720455169677734375e+00 +1.639220952987670898438e+00 +6.707065105438232421875e-01 +9.096605777740478515625e-01 +1.678113579750061035156e+00 +5.821459293365478515625e-01 1.546144628906250000000e+04 1.952695471186245849822e+05
  216 +2.744614362716674804688e+00 +1.723173499107360839844e+00 +6.996518969535827636719e-01 +9.615773558616638183594e-01 +1.723265528678894042969e+00 +5.824666023254394531250e-01 1.546144921875000000000e+04 2.007485540298348350916e+05
  217 +2.792459249496459960938e+00 +1.809044480323791503906e+00 +7.290336489677429199219e-01 +1.022066950798034667969e+00 +1.765347361564636230469e+00 +5.773866176605224609375e-01 1.546144628906250000000e+04 2.048345933266448555514e+05
  218 +2.843794822692871093750e+00 +1.897521018981933593750e+00 +7.576590776443481445312e-01 +1.086425781250000000000e+00 +1.808831691741943359375e+00 +5.692126154899597167969e-01 1.546145605468750000000e+04 2.086459960300041420851e+05
  219 +2.897945404052734375000e+00 +1.987791419029235839844e+00 +7.860569357872009277344e-01 +1.147263407707214355469e+00 +1.859385848045349121094e+00 +5.564261078834533691406e-01 1.546145019531250000000e+04 2.113002294139015430119e+05
  220 +2.954840898513793945312e+00 +2.080688714981079101562e+00 +8.140506744384765625000e-01 +1.204398632049560546875e+00 +1.906324744224548339844e+00 +5.444715023040771484375e-01 1.546146875000000000000e+04 2.134529065952085074969e+05
  221 +3.015294790267944335938e+00 +2.176105260848999023438e+00 +8.409838080406188964844e-01 +1.261055946350097656250e+00 +1.953970313072204589844e+00 +5.317023396492004394531e-01 1.546145507812500000000e+04 2.157989240993971761782e+05
  222 +3.078475236892700195312e+00 +2.273998975753784179688e+00 +8.676222562789916992188e-01 +1.315746545791625976562e+00 +2.002081871032714843750e+00 +5.194455981254577636719e-01 1.546145800781250000000e+04 2.176381288498282374348e+05
  223 +3.144397020339965820312e+00 +2.374571084976196289062e+00 +8.940518498420715332031e-01 +1.365413427352905273438e+00 +2.045608520507812500000e+00 +5.040597915649414062500e-01 1.546146484375000000000e+04 2.188035993818922142964e+05
  224 +3.212827205657958984375e+00 +2.476947784423828125000e+00 +9.189797639846801757812e-01 +1.407785773277282714844e+00 +2.086097955703735351562e+00 +4.888919591903686523438e-01 1.546148437500000000000e+04 2.195359457175737479702e+05
  225 +3.282867431640625000000e+00 +2.581208705902099609375e+00 +9.434754848480224609375e-01 +1.440235018730163574219e+00 +2.117445230484008789062e+00 +4.673694670200347900391e-01 1.546149023437500000000e+04 2.189429748390741588082e+05
  226 +3.355264902114868164062e+00 +2.687298536300659179688e+00 +9.671019315719604492188e-01 +1.465750694274902343750e+00 +2.143395662307739257812e+00 +4.421530961990356445312e-01 1.546146679687500000000e+04 2.174827081272780487780e+05
  227 +3.428535699844360351562e+00 +2.794465065002441406250e+00 +9.895544052124023437500e-01 +1.473505496978759765625e+00 +2.159899473190307617188e+00 +4.176093041896820068359e-01 1.546145703125000000000e+04 2.148645372567949525546e+05
  228 +3.502641201019287109375e+00 +2.902341604232788085938e+00 +1.010741233825683593750e+00 +1.465198636054992675781e+00 +2.174564123153686523438e+00 +3.844338059425354003906e-01 1.546142675781250000000e+04 2.122576009670591156464e+05
  229 +3.575316905975341796875e+00 +3.011186361312866210938e+00 +1.029821872711181640625e+00 +1.449149370193481445312e+00 +2.180440664291381835938e+00 +3.521196544170379638672e-01 1.546145117187500000000e+04 2.098246325056273199152e+05
  230 +3.647526264190673828125e+00 +3.120170354843139648438e+00 +1.047513246536254882812e+00 +1.415302872657775878906e+00 +2.179577112197875976562e+00 +3.174143135547637939453e-01 1.546145800781250000000e+04 2.078394274921795295086e+05
  231 +3.718748092651367187500e+00 +3.229314088821411132812e+00 +1.063178181648254394531e+00 +1.374386668205261230469e+00 +2.178766965866088867188e+00 +2.775092422962188720703e-01 1.546148144531250000000e+04 2.065932474413759773597e+05
  232 +3.787415981292724609375e+00 +3.337915182113647460938e+00 +1.077485442161560058594e+00 +1.317762851715087890625e+00 +2.171882152557373046875e+00 +2.407403588294982910156e-01 1.546145996093750000000e+04 2.054648559572365484200e+05
  233 +3.853451728820800781250e+00 +3.446454524993896484375e+00 +1.088680267333984375000e+00 +1.253838419914245605469e+00 +2.156676769256591796875e+00 +2.025729268789291381836e-01 1.546146875000000000000e+04 2.046697055987475614529e+05
  234 +3.916191339492797851562e+00 +3.554944276809692382812e+00 +1.098618984222412109375e+00 +1.175486087799072265625e+00 +2.135584354400634765625e+00 +1.639637053012847900391e-01 1.546211132812500000000e+04 2.041981218126218009274e+05
  235 +3.975557088851928710938e+00 +3.662557840347290039062e+00 +1.106775522232055664062e+00 +1.092739462852478027344e+00 +2.117326021194458007812e+00 +1.284195035696029663086e-01 1.546210937500000000000e+04 2.048655993582747178152e+05
  236 +4.028453350067138671875e+00 +3.767786979675292968750e+00 +1.114720344543457031250e+00 +1.006256818771362304688e+00 +2.091025114059448242188e+00 +9.303954243659973144531e-02 1.546443359375000000000e+04 2.046735876668820565101e+05
  237 +4.078778266906738281250e+00 +3.872142553329467773438e+00 +1.119110345840454101562e+00 +9.191606640815734863281e-01 +2.066471815109252929688e+00 +6.353518366813659667969e-02 1.546446875000000000000e+04 2.044349481392403831705e+05
  238 +4.124799251556396484375e+00 +3.975485324859619140625e+00 +1.122644782066345214844e+00 +8.298377990722656250000e-01 +2.043333292007446289062e+00 +3.988663852214813232422e-02 1.546447363281250000000e+04 2.036289952847332169767e+05
  239 +4.165765762329101562500e+00 +4.077513217926025390625e+00 +1.124798655509948730469e+00 +7.399465441703796386719e-01 +2.022269725799560546875e+00 +1.634239219129085540771e-02 1.546449218750000000000e+04 2.019442914072662824765e+05
  240 +4.203188419342041015625e+00 +4.178839683532714843750e+00 +1.125886678695678710938e+00 +6.514925956726074218750e-01 +2.002333402633666992188e+00 -1.983823487535119056702e-03 1.546447656250000000000e+04 1.992773905967118334956e+05
  241 +4.235848903656005859375e+00 +4.279518127441406250000e+00 +1.126273632049560546875e+00 +5.682121515274047851562e-01 +1.984062790870666503906e+00 -2.386967837810516357422e-02 1.546446777343750000000e+04 1.949909468744168989360e+05
  242 +4.264460086822509765625e+00 +4.379303932189941406250e+00 +1.124895215034484863281e+00 +4.949740767478942871094e-01 +1.966334104537963867188e+00 -4.639736190438270568848e-02 1.546448632812500000000e+04 1.893668808997476880904e+05
  243 +4.289323329925537109375e+00 +4.477422237396240234375e+00 +1.122551918029785156250e+00 +4.690968692302703857422e-01 +1.960837125778198242188e+00 -1.005699560046195983887e-01 1.546444238281250000000e+04 1.853542814381028874777e+05
  244 +4.313328742980957031250e+00 +4.576180458068847656250e+00 +1.117515444755554199219e+00 +4.436625242233276367188e-01 +1.949751853942871093750e+00 -1.532375067472457885742e-01 1.546446582031250000000e+04 1.807393915786788275000e+05
  245 +4.336220741271972656250e+00 +4.675601005554199218750e+00 +1.111722588539123535156e+00 +4.111086726188659667969e-01 +1.928456187248229980469e+00 -1.963665634393692016602e-01 1.546805957031250000000e+04 1.755701250344990985468e+05
